"price","year","age_years","listed_date","mileage","make_name","model_name","trim_name","body_type","transmission","fuel_type","wheel_system","engine_disp_l","cylinders_num","engine_type_std","fleet","frame_damaged","has_accidents","fleet_unknown","frame_damaged_unknown","has_accidents_unknown","disp_missing","etype_missing"
"27200.0","2017.0","3.0","2020-07-05","65508.0","Dodge","Durango","Citadel AWD","SUV / Crossover","A","Gasoline","AWD","3.6","6.0","V6","False","False","False","False","False","False","False","False"
"29000.0","2016.0","4.0","2020-08-05","45858.0","Jeep","Wrangler Unlimited","Sahara 4WD","SUV / Crossover","A","Gasoline","4WD","3.6","6.0","V6","False","False","False","False","False","False","False","False"
"19629.0","2017.0","3.0","2020-08-22","59216.0","Chevrolet","Traverse","1LT FWD","SUV / Crossover","A","Gasoline","FWD","3.6","6.0","V6","False","False","False","False","False","False","False","False"
"32195.0","2019.0","0.0","2019-06-29","15.0","Mazda","MAZDA3","Premium Sedan FWD","Sedan","A","Gasoline","FWD","2.5","4.0","I4","False","False","False","False","False","False","False","False"
"28924.0","2017.0","3.0","2020-07-29","53558.0","Chevrolet","Silverado 1500","LT Double Cab 4WD","Pickup Truck","A","Gasoline","4WD","5.3","8.0","V8","False","False","False","False","False","False","False","False"
"13600.0","2014.0","6.0","2020-08-11","98309.0","Jeep","Grand Cherokee","Laredo 4WD","SUV / Crossover","A","Gasoline","4WD","3.6","6.0","V6","False","False","False","False","False","False","False","False"
"27300.0","2017.0","3.0","2020-08-25","39245.0","Dodge","Durango","GT AWD","SUV / Crossover","A","Gasoline","AWD","3.6","6.0","V6","False","False","False","False","False","False","False","False"
"28000.0","2017.0","3.0","2020-08-06","76354.0","Jeep","Wrangler Unlimited","Sport 4WD","SUV / Crossover","A","Gasoline","4WD","3.6","6.0","V6","False","False","False","False","False","False","False","False"
"62020.0","2020.0","0.0","2020-03-06","11.0","Land Rover","Discovery","V6 SE AWD","SUV / Crossover","A","Gasoline","AWD","3.0","6.0","V6","False","False","False","False","False","False","False","False"
"91355.0","2020.0","0.0","2020-08-15","18.0","Land Rover","Range Rover Sport","V6 HST 4WD","SUV / Crossover","A","Gasoline","AWD","3.0","6.0","I6","False","False","False","False","False","False","False","False"
"33939.0","2019.0","1.0","2020-08-05","4320.0","Cadillac","XT4","Premium Luxury FWD","SUV / Crossover","A","Gasoline","FWD","2.0","4.0","I4","False","False","False","False","False","False","False","False"
"93515.0","2020.0","0.0","2020-09-04","5.0","Land Rover","Range Rover Sport","Hybrid Plug-in HSE 4WD","SUV / Crossover","A","Gasoline","AWD","2.0","4.0","I4","False","False","False","False","False","False","False","False"
"21700.0","2017.0","3.0","2020-08-15","35924.0","Nissan","Maxima","SR FWD","Sedan","CVT","Gasoline","FWD","3.5","6.0","V6","True","False","False","False","False","False","False","False"
"62165.0","2020.0","0.0","2020-03-06","7.0","Land Rover","Discovery","V6 SE AWD","SUV / Crossover","A","Gasoline","AWD","3.0","6.0","V6","False","False","False","False","False","False","False","False"
"30500.0","2017.0","3.0","2020-08-22","19477.0","Jeep","Grand Cherokee","Overland 4WD","SUV / Crossover","A","Gasoline","4WD","3.0","6.0","V6","False","False","False","False","False","False","False","False"
"27800.0","2017.0","3.0","2020-08-06","57513.0","Mercedes-Benz","GLC-Class","GLC 300 4MATIC","SUV / Crossover","A","Gasoline","AWD","2.0","4.0","I4","False","False","False","False","False","False","False","False"
"16439.0","2017.0","3.0","2020-06-23","70387.0","Chevrolet","Traverse","1LT FWD","SUV / Crossover","A","Gasoline","FWD","3.6","6.0","V6","True","False","False","False","False","False","False","False"
"21000.0","2018.0","2.0","2020-07-30","25122.0","Jeep","Cherokee","Limited 4WD","SUV / Crossover","A","Gasoline","4WD","2.4","4.0","I4","False","False","False","False","False","False","False","False"
"32439.0","2017.0","3.0","2020-07-09","29969.0","Chevrolet","Silverado 1500","LT Double Cab 4WD","Pickup Truck","A","Gasoline","4WD","5.3","8.0","V8","False","False","False","False","False","False","False","False"
"32195.0","2019.0","0.0","2019-06-29","18.0","Mazda","MAZDA3","Premium Sedan FWD","Sedan","A","Gasoline","FWD","2.5","4.0","I4","False","False","False","False","False","False","False","False"
"12500.0","2012.0","8.0","2020-08-11","41672.0","Mercedes-Benz","C-Class","","Sedan","A","Gasoline","","3.0","6.0","V6","True","False","False","False","False","False","True","False"
"18800.0","2015.0","5.0","2020-08-25","67478.0","Chevrolet","Traverse","LTZ AWD","SUV / Crossover","A","Gasoline","AWD","3.6","6.0","V6","False","False","False","False","False","False","False","False"
"62185.0","2020.0","0.0","2020-02-26","11.0","Land Rover","Discovery Sport","HSE R-Dynamic AWD","SUV / Crossover","A","Gasoline","AWD","2.0","4.0","I4","False","False","False","False","False","False","False","False"
"32924.0","2018.0","2.0","2020-07-18","24840.0","Chevrolet","Camaro","1SS Coupe RWD","Coupe","A","Gasoline","RWD","6.2","8.0","V8","False","False","False","False","False","False","False","False"
"32595.0","2019.0","0.0","2019-07-25","5.0","Mazda","MAZDA3","Premium Hatchback FWD","Hatchback","","Gasoline","FWD","2.5","4.0","I4","False","False","False","False","False","False","False","False"
"22724.0","2017.0","3.0","2020-07-11","57061.0","Chevrolet","Traverse","2LT AWD","SUV / Crossover","A","Gasoline","AWD","3.6","6.0","V6","False","False","False","False","False","False","False","False"
"62280.0","2020.0","0.0","2020-03-06","11.0","Land Rover","Discovery","V6 SE AWD","SUV / Crossover","A","Gasoline","AWD","3.0","6.0","V6","False","False","False","False","False","False","False","False"
"97525.0","2020.0","0.0","2020-03-14","9.0","Land Rover","Range Rover Velar","SVAutobiography Dynamic Edition AWD","SUV / Crossover","A","Gasoline","AWD","5.0","8.0","V8","False","False","False","False","False","False","False","False"
"93985.0","2020.0","0.0","2020-09-04","11.0","Land Rover","Range Rover Sport","Hybrid Plug-in HSE 4WD","SUV / Crossover","A","Gasoline","AWD","2.0","4.0","I4","False","False","False","False","False","False","False","False"
"23300.0","2017.0","3.0","2020-08-25","29342.0","Jeep","Grand Cherokee","Laredo 4WD","SUV / Crossover","A","Gasoline","4WD","3.6","6.0","V6","False","False","False","False","False","False","False","False"
"17500.0","2017.0","3.0","2020-08-20","30883.0","Volkswagen","Tiguan","Wolfsburg 4Motion AWD","SUV / Crossover","A","Gasoline","AWD","2.0","4.0","I4","False","False","True","False","False","False","False","False"
"32439.0","2019.0","1.0","2020-08-05","4478.0","Cadillac","XT4","Premium Luxury FWD","SUV / Crossover","A","Gasoline","FWD","2.0","4.0","I4","False","False","False","False","False","False","False","False"
"15324.0","2018.0","2.0","2020-07-21","35580.0","Chevrolet","Malibu","LT FWD","Sedan","A","Gasoline","FWD","1.5","4.0","I4","False","False","False","False","False","False","False","False"
"37140.0","2018.0","1.0","2019-05-25","10.0","Mazda","MAZDA6","Signature Sedan FWD","Sedan","A","Gasoline","FWD","2.5","4.0","I4","False","False","False","False","False","False","False","False"
"64615.0","2020.0","0.0","2020-09-04","11.0","Land Rover","Defender","110 S AWD","SUV / Crossover","A","Gasoline","AWD","2.0","4.0","I4","False","False","False","False","False","False","False","False"
"21300.0","2019.0","1.0","2020-08-27","18015.0","Jeep","Compass","Latitude 4WD","SUV / Crossover","A","Gasoline","4WD","2.4","4.0","I4","False","False","False","False","False","False","False","False"
"15439.0","2017.0","3.0","2020-06-13","32585.0","Chevrolet","Cruze","Premier Sedan FWD","Sedan","A","Gasoline","FWD","1.4","4.0","I4","False","False","False","False","False","False","False","False"
"35695.0","2019.0","0.0","2019-03-30","5.0","Mazda","CX-5","Grand Touring AWD","SUV / Crossover","A","Gasoline","AWD","2.5","4.0","I4","False","False","False","False","False","False","False","False"
"19700.0","2017.0","3.0","2020-07-25","29713.0","Jeep","Cherokee","High Altitude 4WD","SUV / Crossover","A","Gasoline","4WD","2.4","4.0","I4","False","False","False","False","False","False","False","False"
"71969.0","2019.0","1.0","2020-08-07","20553.0","Ford","F-350 Super Duty","Platinum Crew Cab 4WD","Pickup Truck","A","Biodiesel","4WD","6.7","8.0","V8 BIODIESEL","False","False","False","False","False","False","False","False"
"25272.0","2018.0","2.0","2020-09-07","35460.0","Chevrolet","Colorado","LT Crew Cab LB RWD","Pickup Truck","A","Gasoline","4X2","3.6","6.0","V6","True","False","True","False","False","False","False","False"
"23500.0","2017.0","3.0","2020-08-20","39838.0","Nissan","Pathfinder","SL 4WD","SUV / Crossover","CVT","Gasoline","4WD","3.5","6.0","V6","False","False","False","False","False","False","False","False"
