make_name,body_type,n,MAE,RMSE,rMAPE
MINI,Convertible,152,1372.1572885714306,1830.4394120311442,0.08897931237365359
Toyota,Minivan,3310,1263.0145311985132,1827.8934175036732,0.07023579438053036
Lexus,Convertible,53,1454.7418921957371,1820.854427576843,0.09648740400887536
Plymouth,Coupe,1,1814.4973690816305,1814.4973690816305,0.3026684518901802
Saab,Hatchback,2,1521.2257788874217,1811.0870504946804,0.3045604976001074
Kia,Minivan,748,1181.1604191198626,1806.8362781081862,0.08436519743872808
Nissan,Van,767,1184.510167065358,1785.0478946311016,0.05768105557905249
Isuzu,Convertible,2,1657.5712017225342,1775.575900839537,0.2696591868639264
Kia,,2,1422.8891890819723,1773.248314694302,0.07059192408230786
Kia,SUV / Crossover,12471,1309.1787462830605,1760.7933307724597,0.06356382787792403
Chrysler,Convertible,193,1203.6437064081485,1748.3993647647515,0.17369541225521964
Plymouth,Van,2,1643.7891017449697,1746.420863081139,0.5475458118407384
Dodge,Wagon,19,1264.4718634747153,1727.3172970296755,0.2224950447045236
Scion,Coupe,308,1002.8391069984257,1724.0008096065549,0.10402420281176607
Audi,Hatchback,1,1718.338464139033,1718.338464139033,0.08717220292913114
MINI,Hatchback,987,1199.4806507410444,1704.8518806013176,0.07892004294652938
Honda,Van,4,1205.1495290272544,1693.8434957271252,0.2709465110787289
Mazda,Pickup Truck,15,1294.6526270687625,1673.5915024513645,0.27287191694566804
Mazda,Convertible,350,1263.5696359719907,1656.1530190144601,0.07479591104472205
Toyota,SUV / Crossover,30132,1260.1015084641926,1655.862427132899,0.049402209361802146
Volkswagen,Wagon,934,1182.2689394881686,1638.8770478574809,0.07148475595196144
Toyota,Wagon,203,1056.4623723963236,1638.3212473721128,0.08447661412085214
Volkswagen,Hatchback,2114,1213.0450812897286,1636.3724249771299,0.07866295663132597
Audi,Wagon,345,1178.3492429226744,1623.3344652433484,0.07469582310075577
Honda,Minivan,4564,1180.763646415228,1612.5520465644454,0.06596926984552594
Pontiac,Minivan,27,1138.6829827620847,1602.5566084937657,0.24689462897537645
Toyota,Hatchback,3942,1001.4978503436424,1594.8295978447868,0.06917903936388478
Kia,Sedan,8866,1108.2362501452596,1565.564185664484,0.07209340155158828
Lexus,Wagon,171,1168.5886242456647,1552.6025220717795,0.07370441438922254
Chevrolet,Hatchback,3467,1167.2276303507838,1551.3299207470568,0.08731953351033539
Eagle,Hatchback,1,1547.4530983970562,1547.4530983970562,0.11912648948399202
Volkswagen,Sedan,11779,1170.6088434226206,1545.7643059928387,0.07305471738006795
Mazda,Hatchback,1115,923.5099208588281,1545.2263263150526,0.06730398236341646
Subaru,Pickup Truck,33,1236.2340419682164,1542.128863830031,0.16590854443955355
Honda,Pickup Truck,1245,1274.3285252381188,1541.072793994856,0.0479421137254992
Chevrolet,Sedan,18657,1107.6700936835523,1531.1401823455737,0.08067154015841135
Subaru,Coupe,99,1103.581752930851,1527.876792227247,0.06350150372137048
MINI,Coupe,44,1188.0178243413459,1516.645302444364,0.13407464423989635
Toyota,Sedan,23640,1117.0463285088208,1496.8386599341336,0.06623306594754093
